DEBUG 2021-09-04 00:41:59,317 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:42:00,068 - https://hentai2read.com:443 "GET /hatsu_inu/ HTTP/1.1" 200 None
INFO 2021-09-04 00:42:00,081 - Receive response from https://hentai2read.com/hatsu_inu/ with status code is 200. Generating soup
INFO 2021-09-04 00:42:00,159 - Generate manga information
DEBUG 2021-09-04 00:42:00,160 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:42:01,474 - https://hentai2read.com:443 "GET /hishoka_drop/ HTTP/1.1" 200 None
INFO 2021-09-04 00:42:01,486 - Receive response from https://hentai2read.com/hishoka_drop/ with status code is 200. Generating soup
INFO 2021-09-04 00:42:01,591 - Generate manga information
DEBUG 2021-09-04 00:42:01,593 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:42:03,099 - https://hentai2read.com:443 "GET /hishoka_drop_mix/ HTTP/1.1" 200 None
INFO 2021-09-04 00:42:03,102 - Receive response from https://hentai2read.com/hishoka_drop_mix/ with status code is 200. Generating soup
INFO 2021-09-04 00:42:03,174 - Generate manga information
DEBUG 2021-09-04 00:42:03,175 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:42:05,193 - https://hentai2read.com:443 "GET /hole_of_pink/ HTTP/1.1" 200 None
INFO 2021-09-04 00:42:05,194 - Receive response from https://hentai2read.com/hole_of_pink/ with status code is 200. Generating soup
INFO 2021-09-04 00:42:05,268 - Generate manga information
DEBUG 2021-09-04 00:42:05,269 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:42:06,648 - https://hentai2read.com:443 "GET /horny_apartment/ HTTP/1.1" 200 None
INFO 2021-09-04 00:42:06,658 - Receive response from https://hentai2read.com/horny_apartment/ with status code is 200. Generating soup
INFO 2021-09-04 00:42:06,734 - Generate manga information
DEBUG 2021-09-04 00:42:06,735 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:42:08,152 - https://hentai2read.com:443 "GET /hot_tails/ HTTP/1.1" 200 None
INFO 2021-09-04 00:42:08,154 - Receive response from https://hentai2read.com/hot_tails/ with status code is 200. Generating soup
INFO 2021-09-04 00:42:08,226 - Generate manga information
DEBUG 2021-09-04 00:42:08,227 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:42:09,578 - https://hentai2read.com:443 "GET /hot_tail_extreme/ HTTP/1.1" 200 None
INFO 2021-09-04 00:42:09,594 - Receive response from https://hentai2read.com/hot_tail_extreme/ with status code is 200. Generating soup
INFO 2021-09-04 00:42:09,666 - Generate manga information
DEBUG 2021-09-04 00:42:09,667 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:42:10,200 - https://hentai2read.com:443 "GET /houkago_drop/ HTTP/1.1" 200 None
INFO 2021-09-04 00:42:10,204 - Receive response from https://hentai2read.com/houkago_drop/ with status code is 200. Generating soup
INFO 2021-09-04 00:42:10,277 - Generate manga information
